,Количество комнат,Площадь,Этаж,Адрес,Цена в usd,Цена в kgs
0,2.0,56.26,11.0,"Бишкек,Горького-Алма-Атинская,Горького",50634.0,4350473.0
1,2.0,100.0,11.0,"Бишкек,9м-н,Суеркулова(бывшДонецкая)8/4/Тыныстанова",119000.0,10224480.0
2,1.0,42.0,1.0,"Бишкек,АЮGrand,ул.Анкара1/34",60000.0,5155200.0
3,3.0,102.57,12.0,"Бишкек,Горького-Алма-Атинская",92313.0,7931533.0
4,3.0,125.0,11.0,"Бишкек,Военторг,ТоголокМолдо135/Токтогула",205000.0,17613600.0
5,1.0,50.0,12.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",62500.0,5370000.0
6,2.0,80.0,6.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",90900.0,7810128.0
7,1.0,35.0,2.0,"Иссык-Кульскаяобласть,с.Кош-Коль",61000.0,5241120.0
8,1.0,33.0,5.0,"Иссык-Кульскаяобласть,Чолпон-Ата",59400.0,5103648.0
9,3.0,58.0,5.0,"Бишкек,Центральнаямечеть2",82000.0,7045440.0
10,2.0,56.26,11.0,"Бишкек,Горького-Алма-Атинская,Горького",50634.0,4350473.0
11,2.0,100.0,11.0,"Бишкек,9м-н,Суеркулова(бывшДонецкая)8/4/Тыныстанова",119000.0,10224480.0
12,1.0,42.0,1.0,"Бишкек,АЮGrand,ул.Анкара1/34",60000.0,5155200.0
13,3.0,102.57,12.0,"Бишкек,Горького-Алма-Атинская",92313.0,7931533.0
14,3.0,125.0,11.0,"Бишкек,Военторг,ТоголокМолдо135/Токтогула",205000.0,17613600.0
15,1.0,50.0,12.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",62500.0,5370000.0
16,2.0,80.0,6.0,"Бишкек,Магистраль,Байтик-Баатыра/А.Токомбаева",90900.0,7810128.0
17,1.0,35.0,2.0,"Иссык-Кульскаяобласть,с.Кош-Коль",61000.0,5241120.0
18,1.0,33.0,5.0,"Иссык-Кульскаяобласть,Чолпон-Ата",59400.0,5103648.0
19,3.0,58.0,5.0,"Бишкек,Центральнаямечеть2",82000.0,7045440.0
20,2.0,56.26,11.0,"Бишкек,Кок-Жарж/м,ул.7Апреля/Молдокулова",50634.0,4350473.0
21,2.0,100.0,11.0,"Бишкек,Магистраль,БайтикБатыраКонтур5/Токомбаева",119000.0,10224480.0
22,1.0,42.0,1.0,"Бишкек,с.Кок-Джар,мкр.КокЖар",60000.0,5155200.0
23,3.0,102.57,12.0,"Бишкек,Джальскаябольница,Ахунбаева/Тыналиева",92313.0,7931533.0
24,3.0,125.0,11.0,"Бишкек,Джал-29м-н",205000.0,17613600.0
25,1.0,50.0,12.0,"Бишкек,Мед.академия,Абая62/Ахунбаева",62500.0,5370000.0
26,2.0,80.0,6.0,"Бишкек,МолодаяГвардия,Боконбаева249/МолодаяГвардия",90900.0,7810128.0
27,1.0,35.0,2.0,"Бишкек,Магистраль,БайтикБаатыра/Токомбаева",61000.0,5241120.0
28,1.0,33.0,5.0,"Бишкек,Ипподром126",59400.0,5103648.0
29,3.0,58.0,5.0,"Бишкек,Магистраль,просп.Мира82а/ЖусупаМамая",82000.0,7045440.0
30,2.0,56.26,11.0,"Бишкек,Военторг,Исанова71/Токтогула",50634.0,4350473.0
31,2.0,100.0,11.0,"Бишкек,Асанбайм-н13",119000.0,10224480.0
32,1.0,42.0,1.0,"Бишкек,Асанбайм-н,Куттубаева/Токомбаева",60000.0,5155200.0
33,3.0,102.57,12.0,"Бишкек,Магистраль,просп.ЧингизаАйтматова82/2/Масалиева",92313.0,7931533.0
34,3.0,125.0,11.0,"Бишкек,Политех,г.Бишкек,ул.Целинная21(районПолитех)",205000.0,17613600.0
35,1.0,50.0,12.0,"Бишкек,Магистраль,Дуйшеева8/Токомбаева",62500.0,5370000.0
36,2.0,80.0,6.0,"Бишкек,Юбилейка",90900.0,7810128.0
37,1.0,35.0,2.0,"Бишкек,7м-н,Сухэ-Батора/А.Токомбаева",61000.0,5241120.0
38,1.0,33.0,5.0,"Бишкек,Магистраль,ул.Советская/Магистраль",59400.0,5103648.0
39,3.0,58.0,5.0,"Бишкек,Асанбайм-н,Сухэ-Батора/Токомбаева",82000.0,7045440.0
40,2.0,56.26,11.0,"Бишкек,Магистраль",50634.0,4350473.0
41,2.0,100.0,11.0,"Бишкек,Магистраль",119000.0,10224480.0
42,1.0,42.0,1.0,"Бишкек,Золотойквадрат",60000.0,5155200.0
43,3.0,102.57,12.0,"Бишкек,Золотойквадрат",92313.0,7931533.0
44,3.0,125.0,11.0,"Бишкек,Магистраль",205000.0,17613600.0
45,1.0,50.0,12.0,"Бишкек,Магистраль",62500.0,5370000.0
46,2.0,80.0,6.0,"Бишкек,Моссовет",90900.0,7810128.0
47,1.0,35.0,2.0,"Бишкек,СкверТоголокМолдо,Чуйкова/Коёнкозова",61000.0,5241120.0
48,1.0,33.0,5.0,"Бишкек,Магистраль",59400.0,5103648.0
